lon,lat,group,2015-2019
-179.5,54.5,demersals,6.41214922837315e-07
-179.5,54.5,total,2.10402203485006
-179.5,55.5,smallPel,1.3405410613797
-179.5,55.5,largePel,0.618962930519599
-179.5,55.5,demersals,1.04301846315837e-06
-179.5,55.5,total,1.95950503491776
-179.5,56.5,smallPel,1.25107882737656
-179.5,56.5,largePel,0.566400362496142
-179.5,56.5,demersals,1.09668378475913e-06
-179.5,56.5,total,1.81748028655648
-179.5,57.5,smallPel,1.17926290239891
-179.5,57.5,largePel,0.5158836432706
-179.5,57.5,demersals,1.13427472609769e-06
-179.5,57.5,total,1.69514767994424
-179.5,58.5,smallPel,1.13349676238135
-179.5,58.5,largePel,0.469650827112948
-179.5,58.5,demersals,1.04633584971494e-06
-179.5,58.5,total,1.60314863583015
-179.5,59.5,smallPel,1.10258040918614
-179.5,59.5,largePel,0.413139971707133
-179.5,59.5,demersals,5.94973113116441e-07
-179.5,59.5,total,1.51572097586638
-179.5,60.5,smallPel,0.90069771944981
-179.5,60.5,largePel,0.277645467214453
-179.5,60.5,demersals,1.0106894869229e-08
-179.5,60.5,total,1.17834319677116
-179.5,61.5,smallPel,1.23925853744151
-179.5,61.5,largePel,0.00134149424152384
-179.5,61.5,demersals,0.349015759968009
-179.5,61.5,total,1.58961579165104
-179.5,62.5,smallPel,0.764493251347897
-179.5,62.5,largePel,1.11183736159224e-06
-179.5,62.5,demersals,0.244366608894045
-179.5,62.5,total,1.0088609720793
-179.5,63.5,smallPel,0.309086182522893
-179.5,63.5,largePel,1.56182201040592e-12
-179.5,63.5,demersals,0.0181611973522016
-179.5,63.5,total,0.327247379876656
-179.5,64.5,smallPel,0.335589529158965
-179.5,64.5,largePel,3.02184984172494e-11
-179.5,64.5,demersals,0.108661703352878
-179.5,64.5,total,0.444251232542061
-179.5,69.5,smallPel,0.207888639894945
-179.5,69.5,largePel,9.88346389865806e-15
-179.5,69.5,demersals,8.61244185482551e-07
-179.5,69.5,total,0.207889501139141
-179.5,72.5,smallPel,0.0656387696456396
-179.5,72.5,largePel,5.72918658376207e-16
-179.5,72.5,demersals,8.97881798481398e-07
-179.5,72.5,total,0.0656396675274387
-179.5,73.5,smallPel,0.0414763770254921
-179.5,73.5,largePel,6.87090932612141e-17
-179.5,73.5,demersals,3.14021466146066e-06
-179.5,73.5,total,0.0414795172401536
-179.5,74.5,smallPel,0.0171597333927181
-179.5,74.5,largePel,1.54012020478307e-16
-179.5,74.5,demersals,2.21286728577131e-07
-179.5,74.5,total,0.0171599546794468
-179.5,75.5,smallPel,2.42262036553546e-08
-179.5,75.5,largePel,4.49815084846472e-23
-179.5,75.5,demersals,3.38243187860166e-11
-179.5,75.5,total,2.42600279741407e-08
-179.5,76.5,smallPel,1.40935392389274e-08
-179.5,76.5,largePel,2.30487735736251e-20
-179.5,76.5,demersals,7.86068903899392e-11
-179.5,76.5,total,1.41721461293404e-08
